entry_id	package	version	section	text	disposition	proof
ai@17.4.2:added:1	ai	17.4.2	Added	Image content blocks accept an optional `url` mirror: providers whose APIs fetch remote images (Anthropic url sources, OpenAI/xAI Responses and Chat Completions `image_url`, Google `fileData`) send the URL instead of the inline base64 payload.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@17.4.1:added:1	ai	17.4.1	Added	Added Codex Responses support for Code Mode, preserving tool modes and passing tool namespace metadata during sessions.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@17.4.0:added:1	ai	17.4.0	Added	Added model metadata fields (`context_length`, `max_output_tokens`, `input_modalities`, etc.) to auth gateway model listing responses	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
ai@17.3.5:added:1	ai	17.3.5	Added	Added retryable oneshot completion support (`retryTransientCompletion`) so non-agent LLM calls correctly retry on transient provider failures (Anthropic overload/rate-limit errors, HTTP 429/500/502/503/529), honoring provider-supplied retry-after timing before giving up.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@18.0.5:added:1	catalog	18.0.5	Added	Added built-in DeepInfra provider support (`deepinfra`, `DEEPINFRA_API_KEY`) with live model discovery, including chat models, context windows, pricing, cache-read pricing, vision input, and reasoning-effort capabilities.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@18.0.5:added:2	catalog	18.0.5	Added	Added built-in Yolo-Auto provider support with the flat-rate `deepseek-flash-v4` model and live model discovery.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@18.0.1:added:1	catalog	18.0.1	Added	Fixed `google-gemini-cli` model refresh returning only bundled models for Gemini Code Assist Standard accounts, whose credential is not authorized for the Antigravity `fetchAvailableModels` endpoint (HTTP 403). Discovery now falls back to the account's own `retrieveUserQuota` list on Cloud Code Assist, surfacing models such as `gemini-3.5-flash` ([#9315](https://github.com/can1357/oh-my-pi/issues/9315)).	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@18.0.1:added:2	catalog	18.0.1	Added	Added Amazon Bedrock guardrail metadata to model definitions for Converse requests.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@18.0.0:added:1	catalog	18.0.0	Added	Added model capability metadata for reversible private-use glyph tokenization on Claude-compatible models, so provider request handling can apply the compatibility layer without inferring from transport details.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.4.2:added:1	catalog	17.4.2	Added	Added identification of provider-side image fetchers (OpenAI, Anthropic, xAI, Google), so a server hosting images by URL can attribute an inbound fetch to the vendor that issued it.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.4.1:added:1	catalog	17.4.1	Added	Added helper functions and constants for reading enterprise ChatGPT workspace data-residency regions from Codex OAuth access tokens and forwarding the residency header to Codex backend endpoints.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.4.0:added:1	catalog	17.4.0	Added	Models now include an optional `tokenizer` family field across bundled, discovered, and custom models (supporting Claude, Qwen, DeepSeek, Kimi, and GLM families), with support for explicit overrides in model configuration.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.4.0:added:2	catalog	17.4.0	Added	Added long-context cost tiers (`cost.longContext`) to subscription Codex GPT-5.6 models (Sol, Terra, Luna) matching first-party API pricing above 272K input tokens.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.3.8:added:1	catalog	17.3.8	Added	Added a Cursor variant-collapse table folding the per-effort Grok siblings (`cursor-grok-4.5` low/medium/high and `cursor-grok-4.6` low/medium/high/xhigh, plus their `-fast` service-tier lanes) into one logical model per lane with effort routing onto the live wire ids, matching Devin's `grok-4-5` collapse ([#8803](https://github.com/can1357/oh-my-pi/issues/8803)).	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.3.8:added:2	catalog	17.3.8	Added	Regenerated the Cursor agent protobufs to model hosted WebFetch permission queries (`interaction_query` / `interaction_response` field 9) and the matching `ToolCall` variant (field 37).	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.3.5:added:1	catalog	17.3.5	Added	Added support for GLM-5.3 on the z.AI provider, featuring a unified low/high/max reasoning-effort ladder across all hosts, mandatory thinking mode, 1M context, and default-model status for the z.AI provider.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
catalog@17.3.4:added:1	catalog	17.3.4	Added	Added wire constants for Codex V2 remote-compaction feature negotiation.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.6:added:1	coding-agent	18.0.6	Added	Added fast, cached conventional commit message generation to the git TUI and `omp commit --legacy`, including automatic handling of whitespace-only changes, clearer commit scopes, and improved grammar and tense in generated summaries.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.6:added:2	coding-agent	18.0.6	Added	The git TUI sidebar now supports collapsing and expanding the Unstaged and Staged sections, with keyboard shortcuts to stage or unstage an entire section.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.6:added:3	coding-agent	18.0.6	Added	Long streaming thinking and reasoning output now continues into terminal scrollback during a turn instead of remaining clipped to the viewport.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:1	coding-agent	18.0.5	Added	Added append-only transcript declarations and stable-row APIs for components with immutable history prefixes.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:2	coding-agent	18.0.5	Added	Added the `:img` read selector to rasterize local SVG and SVGZ files for vision input.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:3	coding-agent	18.0.5	Added	Added side-by-side image and SVG previews to `omp git`, including Git LFS object resolution and clear placeholders for unavailable or unsupported binary content.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:4	coding-agent	18.0.5	Added	Added the `omp if-bench` command for zero-tool instruction-following and working-memory benchmarking across models, with live progress and ranked results.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:5	coding-agent	18.0.5	Added	Added `q` to quit the git TUI.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:6	coding-agent	18.0.5	Added	Added advanced whitespace filtering to the git TUI, including formatting-only changes and import-only changes in TypeScript, JavaScript, Rust, and Go.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:7	coding-agent	18.0.5	Added	Improved the git TUI sidebar by compressing single-child directory chains and separating new or untracked files from tracked changes.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:8	coding-agent	18.0.5	Added	Added Yolo-Auto to `/login` and documented the `YOLO_AUTO_API_KEY` environment variable.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:9	coding-agent	18.0.5	Added	Updated the OpenRouter `/login` flow to support browser-based sign-in and automatic API-key provisioning, while retaining support for pasted `sk-or-…` keys.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.5:added:10	coding-agent	18.0.5	Added	Added DeepInfra support for the `image_gen` and `tts` tools, including provider selection and MP3 or WAV output for text-to-speech.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.4:added:1	coding-agent	18.0.4	Added	Added the `omp git` command (and `/git` slash command): an interactive, fullscreen repository TUI featuring a split/inline/hunk diff viewer with minimap scrollbar, syntax highlighting, a staging sidebar with line-level staging, commit composer with amend support, and author avatars. Supports keyboard navigation, full mouse interaction, and pinning views to specific commits via `omp git <revision>`.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.4:added:2	coding-agent	18.0.4	Added	Overhauled the `/extensions` Extension Control Center into a fullscreen alternate-screen dashboard with mouse support, tab navigation, unified inspector views across extension types, live MCP connection management, and expandable details (`Ctrl+O`).	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.4:added:3	coding-agent	18.0.4	Added	Added support for live syntax highlighting in streaming markdown code blocks.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.4:added:4	coding-agent	18.0.4	Added	Added an immediately editable startup composer for interactive launches, preserving drafts typed while session initialization is in progress.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.3:added:1	coding-agent	18.0.3	Added	Added opt-in edit auto-repair (`edit.autoRepair.enabled`): when an edit breaks a file's AST parse, the smol model repairs the broken region in place — validated by re-parse, revert-rejected, and surfaced as a diff in the tool result — instead of only warning.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.2:added:1	coding-agent	18.0.2	Added	Added update channels: `omp update --canary` installs canary prereleases from the npm `canary` dist-tag and `omp update --stable` switches back; the chosen channel persists and drives the startup update check.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.1:added:1	coding-agent	18.0.1	Added	Plan review can save a plan to a chosen path and start a new session.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.1:added:2	coding-agent	18.0.1	Added	Edit results now warn when an edit leaves a previously parsing file unparseable, independent of the `edit.blackbox.enabled` recorder.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.1:added:3	coding-agent	18.0.1	Added	Added provider-wide Amazon Bedrock guardrail settings to models configuration, including custom models.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.1:added:4	coding-agent	18.0.1	Added	Added the `/pin` slash command to pin and unpin sessions so they stay at the top of the `--resume` picker UI.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.1:added:5	coding-agent	18.0.1	Added	Optional edit parse-regression capture appends the before/after content, model, variant, and arguments to `~/.omp/agent/edit-blackbox.jsonl` when `edit.blackbox.enabled` is enabled.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:1	coding-agent	18.0.0	Added	Added the `omp render` command to replay session threads and benchmark transcript pipeline performance.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:2	coding-agent	18.0.0	Added	Added configurable typo detection (`Ctrl+.` suggestions), Tab word completion, and opt-in autocorrect to the macOS prompt editor.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:3	coding-agent	18.0.0	Added	Added a live benchmark dashboard to `omp bench` with real-time performance estimates, p50/p95 statistics, distinct input/output throughput metrics, cost tracking, mixed challenge suites by default, and a `--prefill-bytes` option for synthetic prefill benchmarks.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:4	coding-agent	18.0.0	Added	Added the `/shake thinking` command to strip model reasoning blocks from session history.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:5	coding-agent	18.0.0	Added	Added icon support and usage-frequency ranking to slash-command autocomplete suggestions.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:6	coding-agent	18.0.0	Added	Enhanced the edit tool to support `＋`-prefixed line insertions, unified diff formats, bare selection replacements, and robust recovery for common syntax variations and ambiguous match spans.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@18.0.0:added:7	coding-agent	18.0.0	Added	Startup composer now renders immediately using cached session and theme data, allowing typing before session initialization finishes without dropping keystrokes.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.4:added:1	coding-agent	17.4.4	Added	Added the `tui.resizeScrollback` setting (default `append`) controlling how a settled width resize refreshes pane scrollback when the terminal repaints in place (tmux/screen/Zellij panes, in-place direct terminals). Multiplexers rewrap old output naively on width changes, leaving history hard-broken at the old width; `append` re-emits the transcript at the new width below it (one fresh copy per settled resize), `rebuild` clears pane history first so it holds exactly one current-width copy (needs a host that honors ED3, like tmux; erases pre-session scrollback), and `preserve` keeps the old-width history untouched with zero growth ([#8193](https://github.com/can1357/oh-my-pi/issues/8193)).	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.2:added:1	coding-agent	17.4.2	Added	Added an opt-in image URL broker (`images.urls.enabled`) that publishes outgoing images through an ordered chain of backends instead of sending inline base64 to URL-fetching providers	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.2:added:2	coding-agent	17.4.2	Added	Composer attachment chips (ported from omp2): pasted images and large text pastes stage as rounded preview cards above the prompt — image cards show a live thumbnail (Kitty Unicode placeholders) with pixel dimensions, text cards a snippet with `+N lines`/`N chars` — while the editor buffer holds a compact `<icon> #N` token in the card's identity color.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:1	coding-agent	17.4.1	Added	Added `PERSONALITY.md` support: `~/.omp/agent/PERSONALITY.md` (profile/XDG-aware agent dir) replaces the system prompt's personality block text; `personality: none` still omits the block ([#8528](https://github.com/can1357/oh-my-pi/issues/8528))	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:2	coding-agent	17.4.1	Added	Sloppy edits now support inline replacements with `⟪old│new⟫` syntax (`⟪old│⟫` for deletions and `⟪│new⟫` for insertions), alongside automatic recovery for common formatting mistakes without needing a retry.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:3	coding-agent	17.4.1	Added	Sloppy edits now recover operations that mix `⟪old│new⟫` inline replacements with a `»` REWRITE instead of failing the payload: a redundant REWRITE is dropped, a diverging one is applied as the final text, and a note explains the interpretation.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:4	coding-agent	17.4.1	Added	Expanded archive support in `read` and `write` tools: `read` can now inspect and extract members from `.rar`, `.7z`, `.iso`, `.cab`, `.deb`, `.rpm`, `.cpio`, `.ar`/`.a`, `.lzh`, `.arj`, compressed tar files (`.tar.bz2`, `.tar.xz`, `.tar.zst`), package formats (`.whl`, `.ipa`, `.xpi`, `.vsix`, `.nupkg`, `.cbz`, `.cbr`), `.asar` archives, and single-file compressed streams; `write` can create `.tar.zst` and update `.asar` archives.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:5	coding-agent	17.4.1	Added	Added Code Mode for Codex `code_mode_only` models via `providers.openai-codex.codeMode` (`off`/`on`/`auto`), demoting non-essential tools into an eval bridge with generated TypeScript definitions.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:6	coding-agent	17.4.1	Added	MCP tool names longer than 64 characters are now automatically truncated with a deterministic hash suffix to comply with strict provider validators.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:7	coding-agent	17.4.1	Added	Marketplace-installed plugins with manifest settings can now be configured through `omp plugin config` and Settings → Plugins.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:8	coding-agent	17.4.1	Added	Configured discovery providers with `authHeader` now preserve cached models across application restarts.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:9	coding-agent	17.4.1	Added	Added repeat read warning hints when identical file content is read multiple times.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:10	coding-agent	17.4.1	Added	Explicit DAP adapters can now attach without a PID or port when `attachDefaults` provide the target arguments.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.1:added:11	coding-agent	17.4.1	Added	Added `isProjectTrusted()` compatibility shim to `ExtensionContext` for extensions targeting upstream per-directory trust gates.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.0:added:1	coding-agent	17.4.0	Added	`/cleanse` (and `omp cleanse`) — run the checker/repair loop in-session, with a live status board of running checkers, repair subagents, and token/cost totals.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.0:added:2	coding-agent	17.4.0	Added	`omp ps` — interactive monitor for daemon-supervised background processes.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
coding-agent@17.4.0:added:3	coding-agent	17.4.0	Added	Composer layouts — `composer.shape` picks the editor frame (rounded box, Claude Code rules, upstream-pi rules, borderless), with live previews in `/settings` and the setup wizard.	adopted	adopted with the b4e8e856ad merge (commit 6c9bd5c9b5); candidate eb795f45e8 passed driver gates 1-11 (see docs/upstream-18.0.6-upgrade.md §Gate results)
